,index,data,label
0,accuracy,0.6453488372093024,n hidden = 4
1,precision,0.6100220062154493,n hidden = 4
2,recall,0.5895918627236872,n hidden = 4
3,F1,0.5743333459804089,n hidden = 4
4,Fbeta,0.5738062865461246,n hidden = 4
5,accuracy,0.6584302325581395,n hidden = 8
6,precision,0.6457911871350953,n hidden = 8
7,recall,0.609881850238052,n hidden = 8
8,F1,0.6136991845033231,n hidden = 8
9,Fbeta,0.6109319700329228,n hidden = 8
10,accuracy,0.6758720930232558,n hidden = 16
11,precision,0.6739719709157511,n hidden = 16
12,recall,0.5782075823353611,n hidden = 16
13,F1,0.590855189965759,n hidden = 16
14,Fbeta,0.5861187368649551,n hidden = 16
15,accuracy,0.6962209302325582,n hidden = 32
16,precision,0.679251245309029,n hidden = 32
17,recall,0.6553631741639195,n hidden = 32
18,F1,0.6605036247431165,n hidden = 32
19,Fbeta,0.6586618734021585,n hidden = 32
