,index,data,label
0,accuracy,0.6613372093023255,features 10
1,precision,0.6498790935021994,features 10
2,recall,0.652976151933616,features 10
3,F1,0.632556933100634,features 10
4,Fbeta,0.6330860117901677,features 10
5,accuracy,0.7274709302325582,features 20
6,precision,0.7143262460484724,features 20
7,recall,0.6924418840054315,features 20
8,F1,0.6981199618650823,features 20
9,Fbeta,0.6963907046428103,features 20
10,accuracy,0.6569767441860465,features 30
11,precision,0.6372853773487019,features 30
12,recall,0.6328494438407197,features 30
13,F1,0.6187678831954283,features 30
14,Fbeta,0.6190271663528609,features 30
15,accuracy,0.7100290697674418,features 40
16,precision,0.7205674737821643,features 40
17,recall,0.6865176713978981,features 40
18,F1,0.6903803424179207,features 40
19,Fbeta,0.6882416958741729,features 40
